ID	team	title	abstract	village	medal	awards	nominations	year	PIs	instructors	advisors	student leaders	students	roster members	section	country	region	wiki	status
3715	TJUSLS_China	PETAres--- PETase with improved thermal stability	Discarded PET in the environment has caused serious ecological and health problems at present. Enzymatic recycling of PET has been extensively investigated in the past 20 years. PETase is a novel PET-degrading enzyme with the ability to degrade the highly crystallized PET. However, the heat-labile property seriously hinders its industrial applications. To over this limitation, we firstly rationally designed several PETase mutants through our combine bioinformatics strategies. Then we cloned and expressed these mutant genes by using the E. coli system. We next purified all the expressed PETase mutants and tested their thermostability at several conditions. We found 7 of PETase mutants with increasing thermostability. Excitingly, the enzyme activity of one mutant was 163 times that of the wild-type PETase at 60°C that was 20°C higher than the optimum temperature of the wild-type PETase. Our project sheds light on the industrial application of PETase.	Environment	Gold Medal			2021	Zefang Wang	Yanyan Wang, Yi Wei, Yunjie Xiao	Shuying Wu	Guosheng Gao, Yanjiao Lu, Yixuan Wang	Bo Li, Fanghui Wang, Jianyu Wang, Jinglu Liu, Juncheng Yu, Shujun Yang, Xiaofan GUO, Xinyi Zhang, Xuyan Wang, Yuan Wang, Yunran Feng, Zixi Zhao	20	Undergrad	China	Asia	https://2021.igem.org/Team:TJUSLS_China	Accepted
3716	iBowu-China	Glycyr?: synthesis of glycyrrhetinic acid	Glycyrrhetinic Acid (GA) is an important herbal extract from the most widely used Chinese herbal medicine Licorice with applications both in the food and pharmaceutical industries. It is an approved effective medicine for peptic ulcers and has expectorant properties, and current research reported potential use for anti-viral, anti-bacterial, and in cancer treatments. The conventional extraction method using hydrolysis of glycyrrhizin (GL) suffers from high cost and high environmental pressure, which undermines its large-scale usage. Syn-bio pathways can potentially lower the cost, and are eco-friendly. Therefore, Team iBowu-China investigated synthetic methods using the enzyme beta-glucuronidase (bG) to hydrolyze GL into GA by experimenting with the coding sequence from different species. Our results indicate the enzyme can be stably produced with a good hydrolysis activity under proper conditions.	High School	Gold Medal	Top 10	Best Education, High School+Best Integrated Human Practices, High School+Best Wiki, High School	2021	Enshi Xu, Leng Zhe	Zha Yi	He Zhu	YUROU CHEN	Bomin Wei, Geng Qiling, Hanpeng Chen, Hanyang Zhu, JI ZhangCheng, Joyce Jiang, LIU JINGYI, Maidou Wang, Naixin Tang, Xiaoyi Wang, Xiyuan Zhang, Yanru Li, Yisong Shen, Yuxuan Lyu, Zihao Dong, Ziyuan Zhang	21	High School	China	Asia	https://2021.igem.org/Team:iBowu-China	Accepted
3717	TAS_Taipei	UniversO: Enzymatic Blood Type Conversion to Eliminate Transfusion Incompatibility	Blood transfusions are an integral component of healthcare, but the availability of blood is limited by patient-donor blood type specificity. This leads to blood shortages worldwide, especially in developing countries and during times of pandemics or natural disasters, including the COVID-19 pandemic. To alleviate the blood shortage issue, this project aims to increase the supply of universal donor blood through the enzymatic conversion of A, B, and AB blood types to O type, eliminating patient donor incompatibility. We have identified 3 glycoside hydrolases that act as molecular scissors to cleave off terminal residues on A and B RBC surface antigens, preventing cells from eliciting an immune response. We propose a modular, two step blood conversion kit housing our recombinant enzymes that can be implemented into blood banks and processing centers, increasing access to universal donor blood for all.	High School	Gold Medal	Top 10+Best Model+Best Sustainability+Best Wiki+iGEMers Prize	Best Education, High School+Best Hardware, High School+Best Inclusivity, High School+Best Integrated Human Practices, High School+Best New Basic Part, High School+Best Part Collection, High School+Best Presentation, High School+Best Supporting Entrepreneurship, High School	2021	Jude C. Clapper, Jonathan Hsu			Enoch Toh, Yvonne Kuo	Alan Lee, Alexander CY Cheng, Andreea Liao, Andrew Hsiao, Annabelle Wu, Bernie Chen, Christine Wong, Clarence Lin, Dylan Chang, Easton Liaw, Emily Lu, Ethan Su, Evelyn Huang, Guan Chen, Ines Belza Garcia, Jane Lee, Jason Leu, Jeffrey Li, Joyce Ting, Justin Wang, Kaitlyn Hu, Kristin Chang, Lindsey Nien, Minna Hang, Rowan Delgado Marquez, Sabrina Hong, Sean Kai Hsu, Sean Kao, Sienna Chien, Yuh-Ting Laura Hwa, Zhi Ting Tan	35	High School	Taiwan	Asia	https://2021.igem.org/Team:TAS_Taipei	Accepted
3718	Hong_Kong_UCCKE	A Synthetic Biology Toolkit - Bacterial-based Detection with Coupled Cell Proliferation Control	Biological detection systems are not often associated with cell proliferation. Here, we propose a novel bacterial-based detection toolkit where the detection of the target substance will restore normal cell proliferation in genetically modified <i>E. Coli</i> with knocked out growth-related genes. When using the toolkit, a recombinant plasmid is first transformed into a wildtype <i>E. Coli</i> to knockout two genes, using the CRISPR-Cas9 system, to reduce its growth. After the knockout, another plasmid containing a modular receptor platform (MRP), genes that restore growth rates, and a multiple cloning site (MCS), are transformed. The MRP with a customizable receptor domain can bind to its operon to activate downstream genes after binding its ligand. Genes used to restore growth and a choice of the user would be expressed. We envision the detection toolkit to have various uses, such as the amplification of signals and the detection of diseases.	High School	Silver Medal			2021	Pan Tsz Yau, Luk Hau Ching		Chui Siu Wa		Chan Chak Hei Jeremiah, Chan Pui Ching, Fung Long Yin, Kwok Wang Kin, Lau Cheuk Gi Chloe, LI YAU, Wan Yau Yoanna, Yeung Chun Yin, Yip Kai Long	12	High School	Hong Kong	Asia	https://2021.igem.org/Team:Hong_Kong_UCCKE	Accepted
3719	MichiganState	A multi-tiered biocontainment strategy for the prevention of horizontal gene transfer in transgenic microbes	To combat unwanted horizontal gene transfer in transgenic microbes, we are creating a multi-faceted biocontainment system designed to work in Escherichia coli. First, we use the GhoST toxin-antitoxin system to induce cell death in unintended recipients without the corresponding antitoxin. We are also designing a CRISPR-Cas9 based artificial immunity system to cleave conjugative plasmids that enter the host cell, preventing it from gaining conjugative machinery that would allow transfer of synthetic parts. In order to understand how our strategy would behave in a microbial community, we developed an assay to assess horizontal gene transfer from donor to recipient. We also use a Markov’s model and an agent-based model (ABM) to imitate genetic transfer using biophysical and community-based methods, respectively. We hope this system could be used by future iGEM teams to enhance their biocontainment efforts and allow teams to move towards implementation in less controlled environments.	Foundational Advance	Silver Medal			2021	Michaela TerAvest, Bjoern Hamberger, Daniel C Ducat, Masako Harada				Alexander Szura, Emma Boismier, Emma Rico, Kate Adams-Boone, Shelby Santos, Tyler Criss	10	Undergrad	United States	North America	https://2021.igem.org/Team:MichiganState	Accepted
3720	Qdai	Alternative to Canary	Using genetic recombination technology, we will create E. coli bacteria that can detect toxic gases. The E. coli will be used in an environment where human life is at risk, and the luminescence of the E. coli will alert the user in advance of danger. In addition, we plan to make the E. coli die by itself after reacting for a while, assuming that the person handling the E. coli runs away at once in a dangerous situation. This is to prevent the worst-case scenario of accidentally releasing the synthetic organism into the environment. By using synthetic biology, we hope to create a multifunctional E. coli bacterium that can protect the safety of people in dangerous situations.	Environment	Silver Medal			2021	Akiko Satake, Yusuke Maeda		Koyama Haruki	Kenta Motoyashiki	Akito Shima, Daiki Nakamura, Haruka Kita, Kazuma Tsurumaki, Kenta Takemori, Kento Tsuruzoe, Misa Iizawa, Percy Gonzalo Sifuentes Samanamud, rintaro moriyama, Ryosuke Kita, Ryuki Moriyasu, Watanabe Miyo	16	Undergrad	Japan	Asia	https://2021.igem.org/Team:Qdai	Accepted
3721	MIT_MAHE	Cell-tinel	Our project is a modular solution for safe research and experimentation for genetically engineered organisms for application in agriculture. Our model implements a process that targets a pest and a crop on a case by case basis, and identifies ways to limit the organism within the required parameters. Our proof of concept tests stem borers and rice crops as our target pest-crop pair. We plan to use a natural endophyte of rice, Bacillus subtilis, to introduce anti-stem borer properties along with other additional benefits for the crop. The system is such that the toxin for controlling the stem borers is only expressed within the stem borer, and the endophyte will only survive within the plant and stem borer environments.	Food & Nutrition	Bronze Medal			2021	Dr. Ritu Raval		Adithi Somayaji, Anu Oswal, Niyati Sanghvi, Sanya Lakhotia, Shravan Balasubramaniam, Soumodeep Sarkar, Varun Udaya Kumar	Anooshka Pareddy	Aafiya Palida, Adhar Sharma, Adrija Chakraborty, Akhil Kala, Akshatha Hebbar, Akshay Dhansoia, Ashish Kumar, A. Shriman Narayan, Chetan Roger Dhanjal, Dyutish Bandyopadhyay, Harshil Jain, Harshini Rangaraj, Kowshika Muniandi, Maurice D'Moss, Mouli Rajesh, Neha Kumari, Neil Dakshini, Olivia Ishorary, Rathnamegha Lingamsetty, Rohan Munoth, Ronak Singh, Rushad Nihal, Rushil Dalal, Sanidhya Pai, Sasha Thomas, Shubhra Singh, Tanmaya Madhvacharyula, Ujjayini Nandi	37	Undergrad	India	Asia	https://2021.igem.org/Team:MIT_MAHE	Accepted
3722	NWU-CHINA-A	An adventure of ancient snails: Revive Tyrian purple by E.coli	Tyrian purple is a natural dye that originally extracted from the secretion of sea snails in the ancient times, whose production cost thousands of snails and heavily relied on manpower. Nevertheless, there is not a method to prepare Tyrian purple in a large scale by now. Thus, we aim to realize the biosynthesis of 6,6-dibromoindigo, which is the main chemical constituent of Tyrian purple. The pathway begins from tryptophan and sodium bromide and end in 6,6-dibromoindigo, consisting of three successive reactions. To reduce the insolubility of the halogenase in the first reaction, we add a flavin reductase as a soluble tag on the N-terminal of the halogenase. Moreover, we get a tryptophanase knocked out strain by CRISPR/Cas9 to avoid the potential side reactions. Also we established a whole-cell reaction system to produce 6,6-dibromoindigo cheaply and efficiently. In addition, a dyeing protocol was developed to utilize our Tyrian purple products.	Manufacturing	Gold Medal			2021	Daixu Wei, Guan Feng, Hongmin Li, Shiwei Wang	Mingqin Fan	Junjie Zhu, Yu Zhang, ZhuoLin Liu	Gao Qi, Ruozhou Wang	Cheng JiSiYu, Gao Zhan, Jia bo Wang, Jiahao Qin, Jiahui Dai, li Xinxue, Ruiwen Jia, Shaojie Ye, Tongyu Zhang, Wen DingYang, Xie Lurui, Xinyu Lian, Yongzhu Li	23	Undergrad	China	Asia	https://2021.igem.org/Team:NWU-CHINA-A	Accepted
3723	USAFA	DeFluorine Machine: Biodegradation of Per- and Polyfluoroalkyl Substances (PFAS) utilizing Delftia acidovorans Enzymes	Per- and polyfluoroalkyl substances (PFAS) persist in the environment and are associated with liver and kidney disease, altered immune function, lower birth weight, and cancer. More than 4,000 PFAS chemicals have been manufactured for industrial use. PFAS discharge seeps into ground water and bioaccumulates, resulting in unsafe human exposure. Responding to this urgent need, the US Air Force Academy iGEM team identified the aerobic bacterial species Delftia acidovorans from PFAS-contaminated soil with the potential ability to breakdown PFAS. Genetic sequencing of D. acidovorans revealed coding for 5 dehalogenase enzymes (DeHa 1-5). The dehalogenases genes were cloned individually into E. coli expression vectors. Assays of these purified enzymes revealed monodefluorination activity for DeHa 2 and 4. DeHa 1 and DeHa 5 show promising preliminary data and may prove capable of degrading perfluorooctanoic acid (PFOA). With further research and enzyme optimization, our enzymes could offer a powerful, inexpensive prospect for PFAS biodegradation.	Environment	Bronze Medal			2021	John Sitko, J. Jordan Steel, Erin Almand	Melanie Grogger	Chia Hung, Collin Merritt Coon, Nancy Kelley-Loughnane, Vanessa Varaljay	Abigail Loesch, Conley Walters, Eamon A McHugh, Megan Doherty, Olivia Orahood	Alexis Bishop, Bailey Keith, David Hatfield, Gianna Oh, Margaret Warner, Nathaniel Bone, Nikolas Schwendeman, Omar Alali, Sirri Akaya, Taleah Cooper, Zoe Vestal	24	Undergrad	United States	North America	https://2021.igem.org/Team:USAFA	Accepted
3724	Rochester	Bio-Spire: A novel diagnostic device for the continuous monitoring of biomarkers in sweat	The 2021 University of Rochester Team Bio-Spire is manufacturing a wearable biosensor to diagnose sepsis using biomarkers found in sweat. Sepsis is a condition caused by an overwhelming immune response to infection. In the USA alone, at least 1.7 million adults develop sepsis yearly and nearly 270,000 die. We are storing DNA-encoding aptamers for sepsis-related biomarkers in Escherichia coli, synthesizing them in vitro, and developing a sleeve-like biosensor that incorporates these aptamers, graphene, electrodes, and microfluidics to monitor the changing levels of relevant biomarkers in patients. Mathematical modeling is used to predict the concentrations of these biomarkers in blood based on the sweat samples, and a corresponding software tool will display warnings of the patient’s elevated sepsis risk. Our team is centering topics of safety, inclusivity, and ethics in our project, and we are doing outreach activities with a variety of local organizations to demonstrate basic scientific principles to children.	Diagnostics	Gold Medal		Best Diagnostics Project, Undergrad+Best Education, Undergrad+Best Hardware, Undergrad	2021	Anne S. Meyer, Nancy Chen	Alexis Stein, Helen Shammas, Lynn Sidor, Minseon Lee		Tiana Salomon	Amanda Adams, Anca Gabriela Frasineanu, Blaine Dillingham, Danny Nakamura, Ena Haseljic, Irina Ter-Ovanesyan, Jingyi Yan, Maria Schapfel, Muskaan Vasandani, Nikol Pritsky, Tracey Moyston	18	Undergrad	United States	North America	https://2021.igem.org/Team:Rochester	Accepted
3725	Lambert_GA	AgroSENSE	Hydroponics is a compact modular form of agriculture that addresses food insecurity by producing nutrient-dense, high-yield crops. However, maintaining small-scale systems introduces nutrient fluctuations thus declining plant health, impeding the implementation of hydroponics in urban communities. To combat these barriers and increase the frequency of hydroponics use, AgroSENSE provides an accurate and efficient method of nutrient monitoring and pathogen detection, while simultaneously addressing United Nations Sustainable Development Goals. We utilize our phosphate and nitrate biosensors and Fusarium and Phytophthora toehold switches in conjunction with our frugal plate reader for fluorescence quantification. To safely distribute our biosensors, we developed a frugal lyophilizer to freeze-dry cell-free lysates and bacterial samples. We collaborated with the Georgia Department of Agriculture on a regulatory proposal for agricultural biosensors to address biosecurity gaps and led community-centered synthetic biology educational outreach programs. AgroSENSE allows hydroponics users to proactively adjust system maintenance, ultimately increasing harvest yields and sustainability.	High School	Gold Medal	Top 10+Best Integrated Human Practices	Best Education, High School+Best Hardware, High School+Best Measurement, High School+Best Model, High School+Best Safety & Security, High School+Best Sustainability, High School	2021	Janet Standeven, Brittney Denier Cantrell			Melanie Kim, Min Suh Cho	Aditya Prabhakar, Alice Hou, Andrew Bae, Aryan Singh, Edgar Robitaille, Hannah Noh, Hari Skandh Mudigonda, Jenny Nah, Kathy Ye, Madhav Gulati, Manasvi Gupta, Michelle Jing, Neha Lingam, Pranav Kanthala, Regina Ooms, Richard Jiang, Sachintha Ashok, Sahana Narayanan, Saif Khan, Samhitha Yeleti, Shivaek Venkateswaran, Sishnukeshav Balamurali, Stan Lee, Varun Sendilraj, Vineeth Sendilraj, Zoya Mir	30	High School	United States	North America	https://2021.igem.org/Team:Lambert_GA	Accepted
3726	MADRID_UCM	4C_Fuels: Cyanobacterial Cyclic Carbon Capture (for sustainable bioFuel production)	"We will use cyanobacteria as living catalysts for light-driven direct carbon dioxide conversion to valuable products, upgrading the conventional biomass-based biorefineries. To do so, we will engineer the newly discovered Synechococcus PCC11801. A robust fast-growing cyanobacteria for direct sun to chemicals production. Our goal is to test the potential of photosynthetical chemical manufacturing producing n-butanol; an ideal biofuel and comodity chemical. We are implementing an artificial n-butanol biosynthetic pathway, an synthetic pathway for enhanced carbon fixation towards acetyl-CoA as central metabollite and genetic modifications for enhanced solvent tolerance. In addition we will explore cyanobacterial encapsulation in nano-structured biohybrid materials, while performing an insight into the requirements for the industrial scale-up of photobiocatalytic technology. Likewise, we will develop tools for easing cyanobacteria genetic engineering. We will develop a software for neutral integration sites identification. Also a recombination-based system for the easy generation of unmarked mutants will be developed."	Manufacturing	Gold Medal			2021	Mercedes Echaide Torreguitar	Alvaro Gomez Luengo		Jorge Fernandez Mendez	Alba Garay ?lvarez, Antonio Agudo Esperanza, Blanca Zaragoza, Celia_Martin _Morales, Claudia Eiroa Jerez, Lucia Tapia, Santiago Barrag?n Ariza	10	Undergrad	Spain	Europe	https://2021.igem.org/Team:MADRID_UCM	Accepted
3727	Thessaloniki	METIS: A toehold-based diagnostic tool for Pancreatic Ductal Adenocarcinoma	Pancreatic Ductal Adenocarcinoma (PDAC) is the most common type of pancreatic cancer and it is characterized by its devastating outcome, with only a 10% 5-year survival rate. As in other cancer types, it is considered that the earlier diagnosis could contribute to a more efficient treatment. However, the currently available diagnostic methods are unable to detect the tumor at an early stage. Thus, we are designing a toehold-based system to detect specific molecules, called miRNAs, that play an important role in the regulation of gene expression and cell cycle and are upregulated in the urine of patients in the first two stages of PDAC. We hope that this tool can be used by local diagnostic centers to provide a cost-effective, non-invasive and easily accessible diagnostic method. To further improve the impact of our method, we are, also, designing a device where the necessary reactions will take place.	Diagnostics	Gold Medal			2021	Ioannis Vizirianakis		Aristeidis Sionakidis, Asterios Arampatzis, Panagiotis-Nikolaos Lalagkas, Panagiotis Valatsos		Alexandros Tsigilis, Anastasia Theodosiadou, Anna Anastasiou, Anna Varvari, Charalampos Anagnostakis, Chatzichristofis Emmanouil, Danai Eleni Vergini, Dimitrios Trygoniaris, Konstantina Tsouderou, Maria Kosmidou, Other, Michalis Aivaliotis	16	Undergrad	Greece	Europe	https://2021.igem.org/Team:Thessaloniki	Accepted
3728	Mingdao	deSALMONEtor - a phage-based Salmonella detector	Designer phage is a synthetic programmable bacteriophage utilized in diagnosis, vaccine, drug delivery in medicine. Salmonella spp. are a leading cause of food poisoning. Phage typing is a traditional method for characterizing distinct bacterial strains through specific recognition. Phage reporters have been genetically equipped with GFP or luciferase gene and applied in detecting Salmonella in contaminated food. However, the limitation and challenges still hinder its application to routine sample examination. In our project, we have created a Salmonella detector by introducing phi29 DNA polymerase gene into an isolated Salmonella phage genome through in vitro Tol2 transposon system. Rolling circle amplification (RCA) will be triggered in the presence of phi29 DNA polymerase generated by the reporter phage-infected Salmonella cells. The RCA products can be easily measured with a DNA-binding dye. Implementation in mathematical modeling and hardware design will help to understand the potential use in the real world.	High School	Gold Medal	Top 10+Best Measurement	Best Education, High School+Best Model, High School+Best New Basic Part, High School+Best New Composite Part, High School+Best Part Collection, High School+Best Supporting Entrepreneurship, High School	2021	Pei-Hong Chen, Hui-Chuan Hsieh			Chen, Yi-Ting	CHANG, YI-HAN, Chiu, Yu-Lun, Chong-wei Chen, Chu, Chia-Yang, Eric Shih, Fan, Chen-Hsuan, Guan-Yiing Huang, Ho, Yen-Kang, HSU, Chih-Ting, Huang, Yu-Jie, Hung Chieh, Tsai, LIN, ZIH-YUN, Li, Yu-Shiuan, MIN-LIN HSU, Shih, Min-Hong, SUN YU-ZHENG, Tsai, Chia-Ni, Tzu-Yu Wang, Wang, Hong-Lin, Wang, Syuan-He, Yi Liu, Yi-Tian Chu, Yi Yuan, Lai, YUN-CHIAO HUNG	27	High School	Taiwan	Asia	https://2021.igem.org/Team:Mingdao	Accepted
3729	KCIS_NewTaipei	D-licious: Engineering Butyrate-producing Bacteria to Combat Vitamin D Deficiency	From regulating calcium homeostasis, strengthening the immune system, and even preventing COVID-19 infection, vitamin D serves a crucial role in the maintenance of human health. Vitamin D deficiency, a global pandemic caused largely by the lack of sunlight exposure, has only exacerbated during COVID-19 lockdown. However, all current solutions to vitamin D deficiency present limitations in efficiency or accessibility. Our project presents a new method for vitamin D activation. By manipulating the acetyl-CoA butyrate producing pathway, we can increase the butyrate-producing ability of probiotics. The increased production of butyrate would upregulate Vitamin D receptor expression by increasing the activity of the TGF? pathway, which would ultimately result in a more efficient activation of vitamin D. By introducing our engineered probiotics into fermented food starters, we believe the project could be implemented in daily diets, opening up opportunities for a more efficient way of vitamin D intake in the future.	High School	Gold Medal			2021	Frankie Tsui, Laurent Hsia	Andrew Hu	Hannah Hsu	Austin Wang	Chloe Sheu, Chueh, Ju Kuo, Emily Chiu, Han-Wen Hu, Luke Wu, Po-Jiun Chiang, Raymond Tsao, Sinswien Lee, Yi-Chen Lin, Yu Chi Chu	15	High School	Taiwan	Asia	https://2021.igem.org/Team:KCIS_NewTaipei	Accepted
